Kernel,Class,F1-Score,Precision,Recall,k,lambda
NGK,3,1.0,1.0,1.0,4.0,
SSK,0,0.8648648648648648,0.9411764705882353,0.8,4.0,0.5
SSK,1,0.8163265306122449,0.6896551724137931,1.0,4.0,0.5
SSK,2,0.8717948717948718,0.8947368421052632,0.85,4.0,0.5
SSK,3,0.8571428571428571,1.0,0.75,4.0,0.5
NGK,0,0.9473684210526316,1.0,0.9,5.0,
NGK,1,0.9302325581395349,0.8695652173913043,1.0,5.0,
NGK,2,0.9743589743589743,1.0,0.95,5.0,
NGK,3,1.0,1.0,1.0,5.0,
SSK,0,0.8648648648648648,0.9411764705882353,0.8,5.0,0.5
SSK,1,0.8163265306122449,0.6896551724137931,1.0,5.0,0.5
SSK,2,0.8717948717948718,0.8947368421052632,0.85,5.0,0.5
SSK,3,0.8571428571428571,1.0,0.75,5.0,0.5
NGK,0,0.9473684210526316,1.0,0.9,6.0,
NGK,1,0.9302325581395349,0.8695652173913043,1.0,6.0,
NGK,2,0.9743589743589743,1.0,0.95,6.0,
NGK,3,1.0,1.0,1.0,6.0,
SSK,0,0.8648648648648648,0.9411764705882353,0.8,6.0,0.5
SSK,1,0.8163265306122449,0.6896551724137931,1.0,6.0,0.5
SSK,2,0.8717948717948718,0.8947368421052632,0.85,6.0,0.5
SSK,3,0.8571428571428571,1.0,0.75,6.0,0.5
NGK,0,0.9473684210526316,1.0,0.9,7.0,
NGK,1,0.9302325581395349,0.8695652173913043,1.0,7.0,
NGK,2,0.9743589743589743,1.0,0.95,7.0,
NGK,3,1.0,1.0,1.0,7.0,
SSK,0,0.8648648648648648,0.9411764705882353,0.8,7.0,0.5
SSK,1,0.8163265306122449,0.6896551724137931,1.0,7.0,0.5
SSK,2,0.8717948717948718,0.8947368421052632,0.85,7.0,0.5
SSK,3,0.8571428571428571,1.0,0.75,7.0,0.5
NGK,0,0.9189189189189189,1.0,0.85,8.0,
NGK,1,0.9090909090909091,0.8333333333333334,1.0,8.0,
NGK,2,0.9743589743589743,1.0,0.95,8.0,
NGK,3,1.0,1.0,1.0,8.0,
SSK,0,0.8648648648648648,0.9411764705882353,0.8,8.0,0.5
SSK,1,0.8163265306122449,0.6896551724137931,1.0,8.0,0.5
SSK,2,0.8717948717948718,0.8947368421052632,0.85,8.0,0.5
SSK,3,0.8571428571428571,1.0,0.75,8.0,0.5
NGK,0,0.888888888888889,1.0,0.8,10.0,
NGK,1,0.888888888888889,0.8,1.0,10.0,
NGK,2,0.9743589743589743,1.0,0.95,10.0,
NGK,3,1.0,1.0,1.0,10.0,
SSK,0,0.8648648648648648,0.9411764705882353,0.8,10.0,0.5
SSK,1,0.8163265306122449,0.6896551724137931,1.0,10.0,0.5
SSK,2,0.8717948717948718,0.8947368421052632,0.85,10.0,0.5
SSK,3,0.8571428571428571,1.0,0.75,10.0,0.5
NGK,0,0.888888888888889,1.0,0.8,12.0,
NGK,1,0.8695652173913044,0.7692307692307693,1.0,12.0,
NGK,2,0.9473684210526316,1.0,0.9,12.0,
NGK,3,1.0,1.0,1.0,12.0,
SSK,0,0.8648648648648648,0.9411764705882353,0.8,12.0,0.5
SSK,1,0.8163265306122449,0.6896551724137931,1.0,12.0,0.5
SSK,2,0.8717948717948718,0.8947368421052632,0.85,12.0,0.5
SSK,3,0.8571428571428571,1.0,0.75,12.0,0.5
