Kernel,Class,F1-Score,Precision,Recall,k,lambda
SSK,0,0.8421052631578948,0.8888888888888888,0.8,5.0,0.3
SSK,1,0.6363636363636365,0.5833333333333334,0.7,5.0,0.3
SSK,2,0.5714285714285715,0.6666666666666666,0.5,5.0,0.3
SSK,3,0.6976744186046512,0.6521739130434783,0.75,5.0,0.3
SSK,0,0.8837209302325583,0.8260869565217391,0.95,5.0,0.5
SSK,1,0.7692307692307692,0.7894736842105263,0.75,5.0,0.5
SSK,2,0.7567567567567567,0.8235294117647058,0.7,5.0,0.5
SSK,3,0.8780487804878048,0.8571428571428571,0.9,5.0,0.5
SSK,0,0.9090909090909091,0.8333333333333334,1.0,5.0,0.7
SSK,1,0.888888888888889,1.0,0.8,5.0,0.7
SSK,2,0.9,0.9,0.9,5.0,0.7
SSK,3,0.9500000000000001,0.95,0.95,5.0,0.7
